MOU HOUN (VOLTA NOIRE)                  SAMANDENI
24.00024.00025.00026.00027.00027.00026.00025.00026.00031.00031.000       3 71952
37.00038.00031.00026.00022.00022.00027.00018.00019.00025.000             1 81952
24.00041.00048.00057.00066.00058.00089.000109.00111.00113.00             2 81952
124.00124.00127.00126.00130.00144.00147.00150.00156.00160.00 9999.       3 81952
179.00183.00194.00205.00211.00221.00232.00240.00257.00270.00             1 91952
274.00271.00276.00281.00274.00276.00288.00288.00293.00308.00             2 91952
312.00338.00348.00361.00378.00400.00414.00420.00436.00437.00 9999.       3 91952
449.00475.00514.00529.00533.00573.00609.00591.00581.00550.00             1101952
533.00529.00520.00517.00514.00503.00489.00465.00454.00439.00             2101952
418.00405.00385.00374.00362.00334.00306.00300.00233.00233.00233.00       3101952
251.00243.00240.00238.00235.00186.00171.00124.00110.0059.000             1111952
49.00047.00043.00038.00036.00031.00027.00026.00025.00024.000             2111952
24.00024.00022.00020.00019.00018.00018.00018.00018.00015.000 9999.       3111952
14.00013.00013.00013.00012.00011.00011.00011.00011.00010.000             1121952
10.00010.000 9.000 9.000 8.000 8.000 8.000 8.000 7.000 7.000             2121952
 7.000 7.000 7.000 7.000 7.000 6.000 6.000 6.000 6.000 6.000 6.000       3121952
 6.000 6.000 5.000 5.000 5.000 5.000 5.000 4.000 9999. 9999.             1 11953
 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000             2 11953
 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3 11953
 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21953
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21953
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3 21953
 2.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000             1 31953
 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 31953
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 31953
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.00016.000             1 51953
18.00022.00027.00025.00019.00014.00013.00012.00010.000 8.000             2 51953
 6.000 5.000 3.00010.000 6.000 6.00013.00014.00018.00028.00045.000       3 51953
56.00066.00081.00090.00092.00086.00086.00081.00078.00073.000             1 61953
63.00046.00042.00036.00033.00028.00022.00019.00017.00015.000             2 61953
13.00010.000 9.000 9.000 9.00010.00011.00012.00014.00015.000 9999.       3 61953
15.00017.00021.00024.00028.00032.00034.00034.00034.00034.000             1 71953
38.00041.00041.00045.00048.00053.00058.00059.00060.00063.000             2 71953
64.00061.00059.00058.00057.00058.00065.00071.00077.00085.00098.000       3 71953
119.00127.00135.00144.00155.00165.00167.00163.00152.00138.00             1 81953
129.00115.00108.00101.0096.00093.00087.00074.00064.00057.000             2 81953
52.00051.00059.00074.00087.000119.00145.00160.00171.00183.00203.00       3 81953
246.00258.00277.00304.00327.00343.00355.00362.00379.00402.00             1 91953
443.00457.00473.00478.00473.00468.00464.00461.00458.00463.00             2 91953
466.00468.00468.00474.00489.00499.00504.00503.00494.00492.00 9999.       3 91953
486.00486.00482.00476.00469.00461.00453.00447.00437.00426.00             1101953
413.00398.00387.00372.00361.00346.00331.00316.00304.00298.00             2101953
289.00276.00260.00248.00239.00229.00223.00214.00205.00197.00188.00       3101953
181.00171.00163.00155.00139.00114.00105.0091.00073.00065.000             1111953
60.00052.00049.00046.00044.00041.00038.00036.00032.00029.000             2111953
25.00023.00022.00022.00020.00019.00018.00017.00016.00015.000 9999.       3111953
15.00014.00013.00013.00013.00012.00012.00011.00011.00010.000             1121953
10.00010.00010.000 9.000 9.000 9.000 9.000 9.000 8.000 8.000             2121953
 7.000 7.000 7.000 7.000 7.000 7.000 7.000 6.000 6.000 6.000 6.000       3121953
 6.000 6.000 5.000 5.000 5.000 5.000 5.000 5.000 4.000 4.000             1 11954
 4.000 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000             2 11954
 3.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000       3 11954
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000             1 21954
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21954
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3 21954
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41954
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51954
 0.000 0.000 0.000 0.000 1.000 1.000 2.000 2.000 2.000 1.000             2 51954
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.00053.00049.00039.000       3 51954
36.00034.00030.00026.00023.00021.00017.00016.00015.00014.000             1 61954
 9999. 9999.13.00013.00015.00012.00010.000 8.000 8.000 7.000             2 61954
 7.000 8.000 8.000 9.000 8.000 8.00017.00026.00028.00029.000 9999.       3 61954
23.00016.00014.00015.00021.00021.00018.00016.00015.00017.000             1 71954
21.00022.00019.00018.00015.00013.00011.00010.00010.000 9.000             2 71954
 8.000 8.000 7.000 6.000 5.000 6.000 7.000 7.000 8.000 8.000 7.000       3 71954
 7.000 9.00010.00011.00012.00013.00015.00015.00014.00013.000             1 81954
11.000 9.000 8.00010.00011.00018.00026.00033.00043.00052.000             2 81954
65.00074.00083.00094.000102.00107.00110.00118.00130.00139.00153.00       3 81954
166.00180.00201.00225.00246.00257.00269.00282.00291.00299.00             1 91954
305.00314.00327.00335.00342.00335.00326.00319.00309.00300.00             2 91954
290.00277.00262.00251.00240.00 9999. 9999. 9999.239.00234.00 9999.       3 91954
224.00213.00204.00196.00195.00194.00192.00188.00182.00181.00             1101954
176.00171.00168.00166.00163.00159.00146.00129.00109.0092.000             2101954
85.00081.00076.00071.00065.00060.00054.00052.000 9999. 9999. 9999.       3101954
 9999. 9999. 9999. 9999.31.00030.00030.00030.00026.00024.000             1111954
22.00021.00020.00019.00019.00018.00016.00017.00016.00016.000             2111954
15.00015.00014.00014.00014.00014.00013.00013.00012.00012.000 9999.       3111954
 9999. 9.000 9.000 9.000 8.000 8.000 8.000 7.000 7.000 7.000             1121954
 6.000 6.000 6.000 5.000 5.000 5.000 5.000 5.000 5.000 5.000             2121954
 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000       3121954
 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 11955
 2.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11955
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11955
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21955
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31955
 0.000 0.000 0.000 0.000 9999. 9999. 0.000 0.000 0.000 0.000             1 41955
 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 41955
 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 9999.       3 41955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51955
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51955
 0.000 0.000 0.000 1.000 2.000 3.000 2.000 2.000 2.000 3.000 6.000       3 51955
 9.00010.000 9.000 6.000 5.000 4.000 4.000 4.000 7.000 9.000             1 61955
10.000 8.000 5.000 4.000 4.000 4.000 3.000 3.000 4.000 5.000             2 61955
 5.000 5.000 4.000 3.000 3.000 3.000 5.000 8.000 8.000 7.000 9999.       3 61955
 6.000 7.000 7.000 7.000 8.000 9.000 9.000 8.000 8.000 9.000             1 71955
 8.000 8.000 9.000 8.000 8.000 9.00010.00013.00016.00021.000             2 71955
28.00036.00048.00057.00052.00066.00088.000107.00135.00150.00159.00       3 71955
169.00180.00194.00201.00208.00223.00242.00267.00296.00321.00             1 81955
343.00357.00367.00369.00380.00426.00457.00482.00506.00519.00             2 81955
531.00553.00570.00566.00560.00555.00552.00550.00555.00561.00551.00       3 81955
544.00538.00533.00522.00519.00517.00515.00512.00516.00521.00             1 91955
518.00515.00511.00509.00507.00504.00502.00500.00500.00498.00             2 91955
495.00493.00501.00507.00513.00517.00517.00519.00524.00540.00 9999.       3 91955
533.00524.00517.00506.00485.00470.00450.00430.00423.00420.00             1101955
417.00407.00391.00379.00372.00363.00354.00334.00315.00294.00             2101955
278.00272.00270.00269.00265.00256.00244.00229.00219.00212.00203.00       3101955
192.00182.00171.00163.00156.00148.00142.00133.00123.00102.00             1111955
81.00070.00061.00047.00039.00034.00032.00031.00030.00027.000             2111955
25.00024.00023.00022.00022.00021.00019.00019.00018.00017.000 9999.       3111955
16.00016.00016.00015.00015.00014.00014.00013.00013.00012.000             1121955
12.00012.00012.00011.00011.00011.00011.00010.00010.000 9.000             2121955
 9.000 9.000 9.000 8.000 8.000 8.000 7.000 7.000 7.000 7.000 7.000       3121955
 7.000 6.000 6.000 6.000 6.000 6.000 6.000 6.000 5.000 5.000             1 11956
 5.000 5.000 5.000 5.000 5.000 5.000 4.000 4.000 4.000 4.000             2 11956
 4.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000       3 11956
 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 21956
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 21956
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999.       3 21956
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000             1 31956
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 31956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51956
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51956
 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 2.000 2.000             1 61956
 3.000 3.000 4.000 6.000 8.000 8.000 9.000 8.000 7.000 7.000             2 61956
 8.000 8.000 9.00013.00015.00016.00017.00016.00014.00012.000 9999.       3 61956
11.00010.00010.000 9.000 9.000 9.000 9.000 8.000 7.000 7.000             1 71956
18.00016.00019.00019.00019.00024.00028.00026.00028.00030.000             2 71956
32.00032.00032.00032.00030.00026.00026.00024.00022.00027.00035.000       3 71956
52.00057.00064.00067.00072.00077.00084.00087.00089.00097.000             1 81956
97.00093.00089.00092.00099.000109.00114.00121.00129.00129.00             2 81956
135.00143.00148.00154.00160.00162.00165.00172.00186.00198.00207.00       3 81956
215.00223.00231.00236.00243.00253.00262.00271.00284.00287.00             1 91956
294.00303.00310.00318.00328.00335.00340.00346.00352.00357.00             2 91956
362.00366.00366.00367.00371.00373.00375.00372.00369.00368.00 9999.       3 91956
362.00352.00343.00334.00325.00317.00310.00303.00 9999.276.00             1101956
269.00260.00255.00246.00238.00229.00221.00213.00207.00198.00             2101956
190.00183.00176.00167.00155.00 9999. 9999. 9999. 9999.33.00030.000       3101956
25.000 9999.18.00016.00015.00015.00014.00014.000 9999. 9999.             1111956
 9999.14.00014.00014.00014.00013.00013.00012.00012.00011.000             2111956
10.00010.00010.000 9.000 8.000 8.000 8.000 8.000 7.000 7.000 9999.       3111956
 7.000 9999. 9999. 7.000 7.000 6.000 6.000 6.000 7.000 7.000             1121956
 7.000 7.000 7.000 7.000 6.000 6.000 5.000 5.000 4.000 4.000             2121956
 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000       3121956
 2.000 2.000 2.000 2.000 2.000 9999. 9999. 2.000 1.000 1.000             1 11957
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11957
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11957
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.             1 21957
 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000             2 21957
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21957
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000             1 31957
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31957
 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 31957
 9999. 0.000 0.000 0.000 9999. 0.000 0.000 9999. 0.000 0.000             1 41957
 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000             2 41957
 0.000 0.000 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000 9999.       3 41957
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51957
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.             2 51957
 9999. 9999. 9999. 9999. 5.000 6.000 8.000 9.00017.00029.000 9999.       3 51957
 9999.31.00030.00028.00023.00020.000 9999. 9999. 9999. 9999.             1 61957
 9999. 9999. 9999. 9999. 9999.10.00010.00012.00012.00011.000             2 61957
10.000 9.000 8.00012.00011.00011.00012.00012.00013.00013.000 9999.       3 61957
13.00013.00014.00013.00012.00011.00012.00013.00014.00014.000             1 71957
16.00018.00018.00017.00016.00017.00018.00023.00029.00033.000             2 71957
38.00047.00050.00047.00047.00046.00045.00044.00044.00045.000 9999.       3 71957
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.134.00138.00             1 81957
153.00164.00172.00194.00211.00238.00261.00284.00301.00312.00             2 81957
331.00350.00358.00362.00367.00376.00388.00397.00404.00410.00411.00       3 81957
411.00413.00419.00 9999. 9999. 9999.447.00459.00470.00495.00             1 91957
519.00522.00528.00533.00539.00545.00551.00560.00566.00568.00             2 91957
565.00564.00560.00556.00553.00546.00539.00529.00523.00521.00 9999.       3 91957
 9999. 9999. 9999.504.00493.00485.00476.00465.00454.00441.00             1101957
427.00410.00395.00379.00370.00359.00348.00334.00323.00311.00             2101957
304.00292.00276.00263.00257.00253.00241.00228.00211.00206.00196.00       3101957
 9999. 9999. 9999. 9999.145.00137.00124.00109.0098.00089.000             1111957
80.00068.00057.00052.00049.00047.00044.00041.00039.00036.000             2111957
34.00032.00029.00028.00027.00026.00025.00025.00024.00022.000 9999.       3111957
22.00021.000 9999. 9999.20.00019.00018.00017.00017.00016.000             1121957
16.00016.00015.00015.00015.00014.00013.00013.00013.00012.000             2121957
12.00012.00011.00011.00011.00010.00010.00010.00010.000 9.000 9.000       3121957
 9.000 9.000 8.000 9999. 9999. 9999. 9999. 8.000 7.000 7.000             1 11958
 7.000 7.000 7.000 7.000 6.000 6.000 6.000 6.000 5.000 5.000             2 11958
 5.000 5.000 5.000 5.000 5.000 4.000 4.000 4.000 4.000 4.000 4.000       3 11958
 4.000 4.000 3.000 3.000 3.000 9999. 9999. 9999. 9999. 9999.             1 21958
 3.000 2.000 2.000 2.000 2.000 2.000 9999. 9999. 9999. 1.000             2 21958
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3 21958
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000             1 31958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.             2 31958
 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000       3 31958
 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999. 0.000             1 41958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41958
 0.000 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000             1 51958
 0.000 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 4.000 3.000 1.000 9999.       3 51958
 9999. 9999. 9999. 9999. 9999. 1.000 1.000 1.000 3.000 4.000             1 61958
 4.000 4.000 3.000 3.000 2.000 2.000 6.000 4.000 5.000 6.000             2 61958
 9.000 8.000 7.000 6.000 6.000 5.000 5.000 5.000 5.000 4.000 9999.       3 61958
 3.000 9999. 9999. 4.000 3.000 2.000 2.000 2.000 1.000 1.000             1 71958
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 71958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 71958
 0.000 0.000 0.000 0.000 0.000 0.000 3.000 6.000 6.000 7.000             1 81958
 7.00010.00013.00015.00017.00023.00031.00034.00036.00041.000             2 81958
48.00056.00073.00098.000117.00129.00151.00177.00189.00184.00152.00       3 81958
134.00127.00118.00122.00128.00135.00144.00150.00154.00 9999.             1 91958
160.00166.00173.00196.00181.00180.00182.00181.00179.00178.00             2 91958
177.00178.00177.00175.00174.00 9999. 9999. 9999.175.00172.00 9999.       3 91958
169.00168.00167.00166.00165.00163.00158.00148.00141.00127.00             1101958
108.00 9999.71.00063.00050.00040.00036.00033.000 9999.26.000             2101958
22.00021.00020.00018.00017.00015.00013.00012.00012.00011.00010.000       3101958
 9999. 9999. 9.000 8.000 8.000 7.000 7.000 6.000 6.000 6.000             1111958
 6.000 5.000 9999. 5.000 5.000 5.000 5.000 4.000 4.000 4.000             2111958
 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000 9999.       3111958
 2.000 2.000 2.000 9999. 2.000 1.000 1.000 1.000 1.000 1.000             1121958
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2121958
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121958
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 31959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999.             1 51959
 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51959
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 61959
 0.000 0.000 0.000 0.000 1.000 1.000 2.000 3.000 5.000 6.000             2 61959
 7.00012.00017.00014.00013.00011.00014.00012.000 7.000 5.000 9999.       3 61959
 4.000 3.000 3.000 5.00013.00016.00024.00025.00026.00028.000             1 71959
29.00032.000 9999. 9999. 9999.36.00044.00050.00057.00063.000             2 71959
63.00061.00059.00056.00050.00043.00039.00039.00039.00039.00036.000       3 71959
34.00034.00032.00033.00034.00036.00036.00041.00055.00066.000             1 81959
90.000114.00118.00118.00122.00128.00131.00139.00147.00152.00             2 81959
171.00200.00226.00284.00373.00418.00429.00432.00438.00443.00452.00       3 81959
461.00465.00466.00462.00461.00455.00449.00445.00437.00431.00             1 91959
424.00417.00413.00410.00407.00406.00405.00403.00402.00407.00             2 91959
413.00419.00424.00431.00439.00444.00452.00455.00455.00455.00 9999.       3 91959
451.00444.00436.00426.00414.00401.00388.00375.00361.00350.00             1101959
335.00319.00308.00292.00285.00275.00266.00250.00240.00231.00             2101959
217.00202.00184.00174.00156.00135.00121.0090.00059.00051.00043.000       3101959
40.00036.00033.00030.00028.00028.00026.00025.00021.00020.000             1111959
20.00019.00018.00017.00016.00016.00015.00015.00014.00013.000             2111959
13.00013.00012.00012.00012.00011.00011.00011.00010.00010.000 9999.       3111959
10.00010.00010.000 9.000 9.000 9.000 8.000 8.000 8.000 7.000             1121959
 7.000 6.000 6.000 6.000 6.000 6.000 5.000 5.000 5.000 5.000             2121959
 5.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000       3121959
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             1 11960
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2 11960
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3 11960
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21960
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21960
 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 9999. 9999.       3 21960
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31960
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31960
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31960
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41960
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41960
 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 9999.       3 41960
 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000             1 51960
 0.000 1.000 1.000 1.000 1.000 9999. 1.000 1.000 1.000 1.000             2 51960
 2.000 2.000 2.000 2.000 2.000 3.000 3.000 3.000 3.000 3.000 3.000       3 51960
 3.000 2.000 2.000 2.000 2.000 2.000 2.000 5.000 8.00010.000             1 61960
 8.000 7.000 6.000 6.000 5.000 5.000 5.000 5.000 5.000 5.000             2 61960
 5.000 6.000 6.000 7.000 7.000 7.000 7.000 7.00011.00011.000 9999.       3 61960
12.00012.00011.00011.00011.00011.00011.00011.00010.00010.000             1 71960
15.00022.00022.00022.00021.00019.00020.00021.00024.00025.000             2 71960
28.00030.00028.00031.00030.00030.00029.00028.00030.00039.00052.000       3 71960
70.00072.00067.00065.00062.00066.00072.00074.00074.00074.000             1 81960
72.00070.00068.00067.00069.00072.00074.00073.00067.00061.000             2 81960
58.00051.00046.00045.00048.00055.00066.00072.00074.00077.00076.000       3 81960
74.00073.00072.00070.00068.00071.00077.00091.000109.00119.00             1 91960
130.00146.00172.00208.00243.00256.00273.00292.00311.00335.00             2 91960
363.00390.00400.00415.00431.00443.00451.00453.00453.00459.00 9999.       3 91960
462.00464.00467.00468.00470.00470.00470.00468.00457.00448.00             1101960
442.00434.00422.00410.00396.00386.00370.00348.00325.00303.00             2101960
293.00287.00275.00268.00259.00243.00227.00217.00201.00189.00 9999.       3101960
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 21961
 9999. 9999. 9999. 9999. 9999. 2.000 2.000 2.000 2.000 2.000             2 21961
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 9999. 9999. 9999.       3 21961
 2.000 2.000 2.000 0.000 9999. 9999. 9999. 9999. 0.000 0.000             1 31961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51961
 1.000 1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000             2 51961
 0.000 0.000 0.000 0.00010.000 9.000 7.000 6.000 5.000 3.000 3.000       3 51961
 2.000 1.00018.000 9.000 6.000 5.000 4.000 3.000 3.000 3.000             1 61961
 2.000 2.000 1.000 1.000 2.000 2.000 2.000 2.000 3.000 3.000             2 61961
 3.000 4.000 4.000 5.00010.00012.00015.00017.00021.00024.000 9999.       3 61961
25.00025.00026.00026.00027.00029.00033.00033.00033.00033.000             1 71961
32.00032.00032.00032.00032.00030.00027.00039.00047.00065.000             2 71961
74.00081.00079.00077.00079.00079.000 9999. 9999. 9999. 9999. 9999.       3 71961
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.240.00             1 91961
248.00256.00267.00286.00302.00325.00333.00339.00339.00339.00             2 91961
343.00348.00353.00357.00362.00362.00362.00361.00354.00350.00 9999.       3 91961
350.00348.00343.00339.00311.00298.00289.00259.00244.00 9999.             1101961
 9999.209.00206.00197.00186.00168.00138.00109.0082.00039.000             2101961
31.00027.00023.00020.00018.00017.00017.00015.00015.00013.00012.000       3101961
12.00011.00011.00010.000 9.000 9.000 9.000 9.000 9.000 9.000             1111961
 9999. 9999. 9999. 9999. 9999. 9999. 5.000 5.000 4.000 4.000             2111961
 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 9999.       3111961
 3.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000             1121961
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2121961
 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000       3121961
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.             1 11962
