MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000             2 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31981
 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41981
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 9999.       3 41981
 2.000 3.000 2.000 1.000 2.000 1.000 1.000 1.000 1.000 1.000             1 51981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 51981
 1.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 2.000 4.000       3 51981
 4.000 3.000 2.000 2.000 1.000 1.000 1.000 1.000 0.000 2.000             1 61981
 4.000 5.000 4.000 2.000 2.000 1.000 1.000 1.000 1.000 2.000             2 61981
 3.000 4.000 6.000 9.000 8.000 6.000 5.000 4.000 3.000 3.000 9999.       3 61981
 2.000 3.000 4.000 3.000 3.000 5.000 6.000 5.000 3.000 2.000             1 71981
 3.000 3.000 5.000 8.000 8.000 8.000 9.000 9.000 8.000 8.000             2 71981
 9.00010.00011.00012.00012.00013.00013.00015.00017.00019.00020.000       3 71981
21.00021.00021.00022.00021.00022.00022.00023.00023.00024.000             1 81981
25.00025.00026.00026.00026.00026.00025.00024.00024.00022.000             2 81981
21.00020.00020.00020.00022.00023.00023.00024.00025.00026.00027.000       3 81981
28.00028.00029.00031.00033.00035.00037.00039.00042.00045.000             1 91981
47.00047.00048.00049.00050.00052.00055.00058.00059.00056.000             2 91981
57.00055.00052.00051.00049.00047.00045.00041.00037.00033.000 9999.       3 91981
29.00026.00024.00022.00021.00019.00019.00018.00017.00016.000             1101981
16.00015.00015.00014.00014.00013.00012.00012.00011.00011.000             2101981
10.000 9.000 8.000 8.000 8.000 8.000 7.000 7.000 6.000 6.000 6.000       3101981
 6.000 6.000 6.000 5.000 5.000 5.000 5.000 4.000 4.000 4.000             1111981
 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 2.000             2111981
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 9999.       3111981
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000             1121981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2121981
